"trust";"anchor";"se";"gender";"scale";"t";"intTime";"N";"c";"pvc";"d";"cp";"pvcp";"dp";"pvdp";"cn";"pvcn";"dn";"pvdn";"tot";"sbt";"sbt2";"enhm";"enhsd";"totm";"totsd";"sbm";"sbsd";"sbtm";"sbtsd";"diffm";"diffsd"
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:3";0;996;-0.0517760961317172;0.322286516313156;0.575724531812156;0.0422582628524695;0.587261252895542;0.51083536286399;5.60808318769208e-24;-0.1487647359974;0.0434098563024549;0.647209867684714;8.91884180994626e-34;-0.51;0.391837341028342;0.716082278186624;-1.64455;1.57938916934402;-0.62455;1.00056506522502;1.02;1.3449869701037;0.36668936811868;0.39874843586539;0.65331063188132;1.27296885456335
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:3";240;981;-0.0454025513361573;0.384743796390109;0.574234233096183;0.0543710735945353;0.485241200238373;0.50447017772373;1.79459818036979e-23;-0.150895821683243;0.0397523386552034;0.65256750849258;1.91377099217184e-34;-0.79;0.356903105698256;0.652374742721523;-1.7526;1.66867059293879;-0.79995;1.05328130384296;0.95265;1.33477134755405;0.380108420793572;0.381395166700776;0.572541579206428;1.26906903700883
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:4";0;1328;-0.0476186093010838;0.294007703186074;0.57301549574831;0.0734101325167037;0.253836812726621;0.496825700672052;7.39104116695237e-33;-0.191040376084379;0.00481570182563102;0.673275085675248;7.2602628757758e-42;-0.5;0.435115976686536;0.796273662655944;-0.93185;1.60106625197588;-0.51965;1.57721348886168;0.4122;0.444519004912774;0.368876601022333;0.436956898082725;0.0433233989776665;0.0418703029781278
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"all";"1:4";240;1308;-0.0406853834091858;0.369536666511646;0.570551986514858;0.0866144965247479;0.178760236225688;0.489692499517557;4.66831046757045e-32;-0.194167939035359;0.00406372544056308;0.678558397516213;1.35895474754212e-42;-0.78;0.399511799755589;0.731116653420967;-1.37485;1.78049876629666;-0.9102;1.76437469100281;0.46465;0.422859228509534;0.424254234615658;0.410926832067986;0.0403957653843416;0.0461222374911511
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"0";"1:1";0;172;0.0803956720430052;0.493008912337714;0.475815518158904;-0.312026150787329;0.128265732681654;0.76630696027482;2.09562150858115e-07;0.32300345439685;0.0261045627964738;0.284307954544565;0.00604119246373214;7.07;-0.0391961126259173;-0.0717284717074253;NA;NA;6.93935;2.1101851778753;NA;NA;NA;NA;NA;NA
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"0";"1:1";240;168;0.0696431346758631;0.55199167686951;0.486592190393473;-0.312026150787329;0.128265732681654;0.76630696027482;2.09562150858115e-07;0.30498255794098;0.0358621224613168;0.301371542515362;0.00380566018657528;6.47;0.0252799679651544;0.0463030574835392;NA;NA;6.54225;2.11214088856919;NA;NA;NA;NA;NA;NA
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"0";"2:2";0;172;-0.0171248958111662;0.901149674083102;0.569889531422944;0.432086356091994;0.0400249840686456;0.309913223478685;0.0203569300957363;-0.242330533842205;0.198603904735975;0.708894016405856;4.34636871290628e-07;7.05;-0.730839370104702;-1.33403991499323;4.0547;4.12858729777837;7.13495;2.34147142619732;3.08025;3.32869320149037;-0.737595597346166;0.977254693771826;3.81784559734617;3.24356615348663
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"0";"2:2";240;168;-0.0168990667379106;0.901640515445231;0.576153131202643;0.453359202930652;0.0308694161421559;0.299974404461979;0.0240052932350538;-0.263417182321206;0.157639201863257;0.732915688420206;1.61128437648749e-07;6.47;-0.740370853603439;-1.35018037824824;4.1376;4.06610319791326;6.6304;2.10041198160321;2.4928;3.49122621185044;-0.711478539244205;1.01891971362225;3.20427853924421;3.27382572138186
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"0";"3:3";0;172;-0.141567043529421;0.246787400083951;0.6597897982906;0.0354481620879663;0.812057104234997;0.594217826444963;8.13152321794962e-09;-0.218229286528301;0.314888011080917;0.665065119279873;3.96460065649386e-05;7.14;0.702684596115123;1.28125911524943;9.5877;4.48466451241837;7.17365;2.15329038331442;-2.41405;3.8687481383894;0.695788551471547;1.05765739374974;-3.10983855147155;3.64552820478823
"[0, 6]";"[50, 100]";"[0, 5]";"Une femme";"0";"3:3";240;168;-0.138658686943935;0.25758203184228;0.658166618469481;0.0295567442406781;0.845033894382725;0.596075645136;1.21202513163457e-08;-0.213575086769;0.320831104015108;0.664116185269201;3.56445180069475e-05;6.55;0.707816704757251;1.29165361138042;9.11505;4.2332278568416;6.6104;2.16749185574563;-2.50465;3.76698470214987;0.723081771038178;1.091040929601;-3.22773177103818;3.54255386535256
